id,question,A,B,C,D,solution,category,difficulty
24,Cuál es la fórmula del ion hidronio?,H⁻,OH⁻,H₃O⁺,H₂O₂,C,university,easy
25,Qué sucede si combinas un ácido y una base en cantidades equivalentes?,Se forma un gas noble,Ocurre neutralización,Aumenta el pH a 14,No pasa nada,B,university,easy
26,Qué significa 's' en una ecuación química?,Solución acuosa,Fase sólida,Fase gaseosa,Fase líquida,B,university,easy
27,Cuál es la partícula con carga positiva en el núcleo?,Mesón,Protón,Positrón,Electrón,B,university,easy
28,Cuál de las siguientes es una unidad de presión?,Pascal,Julio,Kelvin,Coulomb,A,university,easy
29,Qué ocurre al aumentar la temperatura de un gas en un recipiente cerrado?,Disminuye la presión,La presión aumenta,No hay cambio,Se licua,B,university,easy
30,Qué significa el símbolo '?' en una reacción química?,Temperatura baja,Reacción incompleta,Calentamiento,Volumen constante,C,university,easy
31,Cuál de estas especies es un radical libre?,O₂,H₂O,Cl·,NH₄⁺,C,university,medium
32,Cuál de las siguientes magnitudes se conserva en una reacción química?,Volumen total,Masa total,Presión,Entalpía,B,university,medium
33,Qué nombre recibe una solución que puede resistir cambios de pH al agregar ácido o base?,Isotónica,Sobresaturada,Tampón,Coloide,C,university,medium
34,Cuál es la fórmula empírica del peróxido de hidrógeno (H₂O₂)?,HO,H₂O₂,H₂O,HO₂,A,university,medium
35,Qué es la entalpía (H)?,Calor absorbido a presión constante,Calor absorbido a volumen constante,Energía libre del sistema,Energía potencial,A,university,medium
36,Cuál de estas fuerzas es la más débil?,Enlace covalente,Enlace iónico,Puente de hidrógeno,Fuerzas de Van der Waals,D,university,medium
37,Qué establece la ley de Charles?,P₁V₁ = P₂V₂,V₁/T₁ = V₂/T₂,PV = nRT,V₁n₁ = V₂n₂,B,university,medium
38,Qué tipo de reacción es: A + BC -> AC + B?,Neutralización,Doble desplazamiento,Sustitución simple,Síntesis,C,university,medium
39,Cuál es el reactivo limitante en una reacción química?,El que se gasta primero,El que está en mayor cantidad,El que no reacciona,El que determina la entalpía,A,university,medium
40,Cómo se llama la sustancia que acelera una reacción sin consumirse?,Soluto,Catalizador,Intermediario,Inhibidor,B,university,medium
41,Cuál es el producto iónico del agua (Kw) a 25 Â°?,1 x 10⁻¹⁴,1 x 10⁻⁷,1 x 10^14,0,A,university,medium
42,Qué tipo de compuesto resulta de la reacción entre un ácido y un alcohol?,Aldehíno,éter,éster,Amina,C,university,medium
43,Cuál es la principal característica de un gas ideal?,No tiene volumen,No hay fuerzas intermoleculares,Se licua fácilmente,Es diatómico,B,university,medium
44,Cuál es la unidad SI de la constante de gases (R)?,J/(mol·K),L/(atm·K),N/(m·K),g/(mol·K),A,university,medium
45,Qué sucede en un proceso endotérmico?,Se libera energía,No hay transferencia de calor,Se absorbe calor,Cambia la entropía pero no la entalpía,C,university,medium
46,Qué expresa la ley de Hess?,El calor de reacción depende de la ruta,El calor de reacción es independiente de la ruta,El calor de reacción es siempre cero,El calor de reacción no puede medirse,B,university,medium
47,Qué es un enlace polar?,Un enlace con distribución equitativa de electrones,Un enlace que comparte protones,Un enlace con distribución desigual de electrones,Un enlace que rompe la regla del octeto,C,university,medium
48,Qué significa que una reacción esté en equilibrio?,La reacción se detiene,Las concentraciones de reactivos y productos son iguales,Las velocidades directa e inversa son iguales,El catalizador se desactiva,C,university,medium
49,Cuál es el número de oxidación del oxígeno en la mayoría de compuestos?,-2,-1,0,2,A,university,medium
50,Cuál es el pH de una solución con [H⁺] = 1x10⁻⁵ M?,5,9,14,2,A,university,medium
51,Qué tipo de interacción estabiliza a las micelas en solución?,Interacciones metálicas,Atracciones electrostáticas fuertes,Interacciones hidrofóbicas,Enlaces iónicos,C,university,medium
52,Cuál es la expresión de la constante de equilibrio para la reacción: aA + bB <-> cC + dD?,K = [A]ª [B]ᵇ / [C]ᶜ [D]ᵈ,K = ([A]ª [B]ᵇ) / ([C]ᶜ [D]ᵈ) x RT,K = [C]ᶜ [D]ᵈ / [A]ª [B]ᵇ,K = (a+b)/(c+d),C,university,medium
53,Cuál es el pOH de una solución con pH = 3 a 25 Â°?,7,14,11,1,C,university,medium
54,Cuál es la geometría electrónica de una molécula con 3 pares de electrones en el átomo central?,Lineal,Tetraédrica,Trigonal planar,Piramidal,C,university,medium
55,Qué representa la letra 'n' en la ecuación de gases ideales?,Número de moléculas,Número de moles,Número de átomos,Número cuántico,B,university,medium
56,Qué tipo de enlace se forma en un compuesto iónico?,Compartir electrones,Transferencia de electrones,Pérdida de protones,Atracción dipolo-dipolo,B,university,medium
57,Cuál es la configuración electrónica del Neón (Z=10)?,1s² 2s² 2p⁶,1s² 2s² 2p⁴,1s² 2s² 2p⁵,1s² 2s² 2p⁶ 3s¹,A,university,medium
58,Qué indica la constante de equilibrio K>>1?,Predominan los reactivos,La reacción casi no avanza,Predominan los productos,El equilibrio es imposible,C,university,medium
59,Qué es la entropía (S)?,El contenido de calor de un sistema,La medida del desorden o aleatoriedad,La capacidad de hacer trabajo,La variación de energía de Gibbs,B,university,medium
60,Cuál es la forma de la molécula de agua?,Lineal,Tetraédrica,Angular,Trigonal plana,C,university,medium
61,Qué establece el principio de Le Chatelier?,El pH depende solo de la base,Si se cambia una condición de equilibrio el sistema se opone a ese cambio,La entalpía de un sistema siempre aumenta,La entropía del universo disminuye,B,university,hard
62,"Cuál es el valor de la constante universal de los gases, R, en L·atm/(mol·K)?",0.08206,8.314,62.36,2.303,A,university,hard
63,En qué consiste la hibridación sp²?,Mezcla de un orbital s y dos p,Mezcla de un orbital s y un orbital p,Mezcla de un orbital s y tres p,Mezcla de dos orbitales s y un d,A,university,hard
64,Cuál es la ecuación de la energía libre de Gibbs?,?G = ?H + T?S,?G = ?H - T?S,?G = -RT ln K,?G = q - w,B,university,hard
65,Qué tipo de isómeros difieren en la disposición espacial alrededor de un doble enlace?,Isómeros estructurales,Isómeros ópticos,Isómeros geométricos (cis-trans),Tautoméricos,C,university,hard
66,Qué mide la espectroscopía de infrarrojo en una molécula?,Transiciones electrónicas,Vibraciones moleculares,Cambios en el núcleo atómico,Movimientos de electrones no apareados,B,university,hard
67,Qué tipo de reacción es la nitración de benceno?,Sustitución electrofílica aromática,Sustitución nucleofílica alifática,Oxidación enérgica,Reducción catalítica,A,university,hard
68,Cuál de estas moléculas tiene un momento dipolar neto igual a cero?,HCl,H₂O,CO₂,NH₃,C,university,hard
69,Qué propiedad coligativa eleva la temperatura de ebullición de una solución?,Disminución de la presión de vapor,Aumento de la presión de vapor,Disminución del punto de congelación,Cambio de color,A,university,hard
70,Cuál es la velocidad de reacción según la ley: v = k[A]²[B]?,Es de primer orden total,Es de segundo orden total,Es de tercer orden total,Es de orden mixto,C,university,hard
71,Cuál es la ecuación de Arrhenius?,k = Ae^(Ea/RT),ln(k₂/k₁) = Ea/R (1/T₂ - 1/T₁),k = A e^(-Ea/RT),k = e^(?G/RT),C,university,hard
72,Cómo se denomina la sustancia formada temporalmente en el curso de una reacción que luego se convierte en producto?,Reactivo,Intermedio,Catalizador,Producto secundario,B,university,hard
73,Qué describe el principio de exclusión de Pauli?,No más de dos electrones pueden ocupar el mismo orbital,El orbital d debe estar vacío,Los electrones tienen carga positiva,Cada subnivel solo puede tener un electrón,A,university,hard
74,Cuál es la geometría electrónica de un átomo central con hibridación sp³d?,Tetraédrica,Trigonal plana,Bipiramidal trigonal,Octaédrica,C,university,hard
75,Cómo se llama la energía necesaria para quitar un electrón de un átomo en estado gaseoso?,Afinidad electrónica,Energía de ionización,Energía reticular,Potencial de reducción,B,university,hard
76,Cuál es el orden de reacción global si la velocidad es v = k[A]¹[B]²?,1,2,3,0,C,university,hard
77,Qué estudia la cinética química?,La posición del equilibrio,La rapidez de las reacciones,La naturaleza de los iones,La termodinámica,B,university,hard
78,Qué define la constante de equilibrio Kp?,Equilibrio para concentraciones,Equilibrio en fase sólida,Equilibrio en fase acuosa,Equilibrio en presiones parciales,D,university,hard
79,Cuál es la base conjugada del ácido sulfúrico (H₂SO₄)?,HSO₄⁻,SO₄²⁻,SO₃²⁻,H₂SO₃,A,university,hard
80,Qué método se utiliza para balancear reacciones redox en medio ácido?,Método algebraico,Método de ajuste directo,Ion-electrón,Método de Pauli,C,university,hard
81,Cuál es el potencial estándar de hidrógeno (SHE)?,1'00 V,0'00 V,0'76 V,Depende del ph,B,university,hard
82,Qué describe la ecuación de Nernst?,Relación entre emf y las concentraciones iónicas,Relación entre energía libre y entalpía,Velocidad de reacción y temperatura,Equilibrio de fases,A,university,hard
83,Cuál es la fórmula para la presión osmótica (?)?,? = M R T,? = k [A]^n,? = ?H - T?S,? = d · g · h,A,university,hard
84,Qué es un diagrama de fases?,Muestra la energía de activación,Representa los estados de agregación a distintas T y P,Indica la geometría molecular,Es un diagrama de orbitales,B,university,hard
85,Cuál es la principal interacción en la disolución de iones en agua?,Ion-ion,Dipolo-dipolo,Ion-dipolo,London,C,university,hard
86,Cuál de los siguientes iones es comúnmente un contraión en complejos de coordinación?,K⁺,NO₃⁻,Al³⁺,F₂⁻,B,university,hard
87,Cómo se denomina el fenómeno en que una sustancia pierde agua de hidratación al exponerse al aire?,Sublimación,Disociación,Eflorescencia,Descomposición,C,university,hard
88,Qué establece la regla del octeto?,Los átomos tienden a completar 8 electrones en su capa de valencia,La suma de protones y neutrones es 8,Los orbitales d no participan en enlaces,Solo los metales de transición pueden formar 8 enlaces,A,university,hard
89,Cómo se llama el proceso de convertir un líquido en gas a temperatura inferior a su punto de ebullición?,Sublimación,Evaporación,Fusión,Licuefacción,B,university,hard
90,Cuál es la principal interacción que estabiliza la estructura secundaria de las proteínas?,Enlaces iónicos,Puentes de hidrógeno,Puentes disulfuro,Interacciones hidrofóbicas,B,university,hard
91,Qué gas hace que las burbujas en las bebidas carbonatadas?,Oxígeno,Nitrógeno,Dióxido de carbono,Helio,C,general,easy
92,Qué metal es líquido a temperatura ambiente?,Sodio,Mercurio,Hierro,Aluminio,B,general,easy
93,Cómo se llama la sustancia que en contacto con la piel produce un color característico en el bronceado?,Oxígeno,Melanina,Hemoglobina,Keratina,B,general,easy
94,Cuál de estos elementos no es un metal?,Oro,Sodio,Carbono,Calcio,C,general,easy
95,Cuál es la base de la vida en la Tierra?,Hidrógeno,Oxígeno,Carbono,Hierro,C,general,easy
96,Qué gas es necesario para la combustión en el aire?,Nitrógeno,Argón,Oxígeno,Dióxido de carbono,C,general,easy
97,"Cuál es la fórmula del ácido acético, principal componente del vinagre?",H₂SO₄,HCl,CH₃COOH,HNO₃,C,general,easy
98,Cuál es el compuesto principal del vidrio?,SiO₂,CO₂,NaCl,CaO,A,general,easy
99,Qué elemento químico tiene el símbolo 'Fe'?,Fósforo,Hierro,Flúor,Francio,B,general,easy
100,Cuál es el gas noble más ligero?,Helio,Neón,Argón,Radón,A,general,easy
101,Cuál es el componente principal del aire que respiramos?,Oxígeno,Nitrógeno,Dióxido de carbono,Vapor de agua,B,general,easy
102,Cuál de estos se considera un ácido fuerte?,HCl,HF,CH₃COOH,H₂CO₃,A,general,easy
103,Cuál de las siguientes sustancias es una mezcla?,Agua destilada,Dióxido de carbono,Aire,Cloruro de sodio,C,general,easy
104,Qué metal es conocido por su alta conductividad eléctrica?,Plomo,Cobre,Hierro,Oro,B,general,easy
105,Qué macromolécula forman los aminoácidos?,Proteínas,Carbohidratos,Líquidos,ácidos nucleicos,A,general,easy
106,Qué es la oxidación?,Pérdida de electrones,Ganancia de electrones,Disminución del número de oxidación,Formación de enlaces covalentes,A,general,easy
107,Qué define una disolución sobresaturada?,No puede disolver más soluto,Tiene menos soluto del que puede disolver,Contiene más soluto disuelto del que debería a esa temperatura,Es siempre ácida,C,general,easy
108,Qué es el amoníaco en términos de fórmula química?,NH₃,NH₄⁺,NO₃⁻,N₂,A,general,easy
109,Qué son los enlaces de hidrógeno?,Fuerzas débiles entre H y un metal,Interacciones entre H y un átomo muy electronegativo,Enlaces covalentes fuertes,Enlaces iónicos,B,general,easy
110,Qué indica la estequiometría de una ecuación química?,La velocidad de la reacción,Las proporciones en que reaccionan las sustancias,El color de los reactivos,La presión requerida,B,general,easy
111,Cuál de los siguientes no es un hidrocarburo?,Metano,Etanol,Propano,Buteno,B,general,easy
112,Qué significa 'Pb' en la tabla periódica?,Polonio,Plomo,Paladio,Bromo,B,general,easy
113,Cuál es el nombre común del cloruro de sodio?,Azúcar,Sal de mesa,Bicarbonato,Yeso,B,general,easy
114,Qué es una solución acuosa?,Una mezcla de aceite en agua,Una mezcla de agua con un solvente orgánico,Una mezcla donde el agua es el disolvente,Un coloide semisólido,C,general,easy
115,Qué son los iones?,átomos con distinto número de protones y neutrones,átomos o moléculas con carga eléctrica,átomos con el mismo número atómico,Moléculas neutras,B,general,easy
116,Qué es el cloro en su forma elemental?,Gas diatómico,Líquido verde,Sólido cristalino,Gas noble,A,general,easy
117,Cuál de estos compuestos es orgánico?,CO₂,CH₄,NaOH,MgCl₂,B,general,easy
118,Qué ocurre si mezclas vinagre con bicarbonato de sodio?,No pasa nada,Se produce calor sin burbujas,Reacciona formando CO₂ y espuma,Se convierte en un sólido,C,general,easy
119,Cuál es la propiedad que mide la resistencia de un metal a deformarse?,Ductilidad,Maleabilidad,Conductividad,Dureza,B,general,easy
120,Cuál es el principal gas de efecto invernadero producido por actividades humanas?,Metano,Ozono,Dióxido de carbono,Monóxido de carbono,C,general,easy
121,Qué sucede con el punto de ebullición si aumenta la presión externa?,Disminuye,Aumenta,No cambia,Se vuelve 0 Â°,B,general,medium
122,Qué elemento se encuentra en todos los compuestos orgánicos?,Hidrógeno,Oxígeno,Nitrógeno,Carbono,D,general,medium
123,Cuál es el principal componente del gas natural?,Propano,Butano,Metano,Etano,C,general,medium
124,Qué tipo de enlace mantiene unidos a los átomos de sal (NaCl)?,Covalente polar,Iónico,Metálico,Van der Waals,B,general,medium
125,Qué ácido se encuentra comúnmente en las baterías de coche?,ácido clorhídrico,ácido sulfúrico,ácido acético,ácido nítrico,B,general,medium
126,Cuál es la principal razón de la conductividad eléctrica en metales?,Electrones deslocalizados,Protones libres,Ausencia de electrones,Altas energías de ionización,A,general,medium
127,Qué define a un grupo funcional en química orgánica?,La solubilidad en agua,El número de carbonos,El tipo de reacción que sufre,El peso molecular,C,general,medium
128,Qué método se utiliza para separar líquidos miscibles basados en sus puntos de ebullición?,Filtración,Destilación,Cristalización,Decantación,B,general,medium
129,Qué caracteriza a un coloide?,Mezcla homogénea de 2 fases,Partículas muy grandes,Mezcla heterogénea con sedimentación,Partículas de tamaño intermedio,D,general,medium
130,Cómo se llama el proceso de eliminar sales disueltas del agua para hacerla potable?,Ablandamiento,Desalinización,Ozono-tratamiento,Destilación fraccionada,B,general,medium
131,Cuál es el anión en la fórmula de Na₂SO₄?,Na⁺,S²⁻,SO₄²⁻,SO₃²⁻,C,general,medium
132,Qué es un polímero?,Un átomo con alto número atómico,Una mezcla heterogénea,Un material con largas cadenas repetidas,Un catalizador orgánico,C,general,medium
133,Cuál es la característica principal de un isótopo?,Igual número de protones distinto de neutrones,Diferente número de protones mismo neutrones,Distinto número atómico,Diferente reactividad,A,general,medium
134,Qué mide la escala Mohs?,La dureza de los minerales,El calor de combustión,La solubilidad en agua,La densidad de los gases,A,general,medium
135,Qué subproducto se produce típicamente en la combustión completa de un hidrocarburo?,CO,CO₂,C,H₂,B,general,medium
136,Qué sucede si el pH de una solución es menor que 7?,Es básica,Es neutra,Es ácida,Es estable,C,general,medium
137,Cuál de los siguientes no es un estado de agregación de la materia?,Sólido,Plasma,Líquido,Cristalino,D,general,medium
138,Qué tipo de enlace une a los aminoácidos en una proteína?,Enlace glucosídico,Enlace peptídico,Enlace fosfodiéster,Enlace iónico,B,general,medium
139,Cuál es la principal sustancia responsable de la capa de ozono estratosférica?,O₃,O₂,CFC,NOx,A,general,medium
140,Qué describe la ley de Avogadro?,"A T y P ctes, V ? número de moles",La relación entre presión y volumen es constante,La energía interna de un gas ideal es constante,El volumen es inverso a la temperatura,A,general,medium
141,Qué cambio físico ocurre durante la sublimación?,Líquido a gas,Gas a sólido,Sólido a gas,Líquido a sólido,C,general,medium
142,Qué tipo de compuesto son los triglicéridos?,Proteínas,Líqidos,ácidos nucleicos,Carbohidratos,B,general,medium
143,Cuál es un indicador de pH muy común en laboratorios?,Azul de bromotimol,Mercurio,Etanol,Silicio,A,general,medium
144,Qué es la galvanización?,Aplicar un recubrimiento de cinc,una reacción redox en ácido,un tipo de electrólisis,Oxidación de hierro,A,general,medium
145,Qué subpartícula cambia entre isótopos del mismo elemento?,Electrones,Neutrones,Protones,Quarks,B,general,medium
146,Cuál es el principal gas implicado en el efecto invernadero?,Argón,CO₂,Helio,Hidrógeno,B,general,medium
147,Qué se entiende por entalpía de formación estándar?,Energía cinética de moléculas,Calor liberado en combustión,Calor absorbido al formar 1 mol desde elementos,Energía para romper enlaces,C,general,medium
148,Cuál es el nombre del proceso por el cual las plantas convierten CO₂ y agua en glucosa?,Respiración,Evapotranspiración,Fotosíntesis,Fermentación,C,general,medium
149,Qué indica el término 'anfótero'?,Funciona como ácido o base,Es insoluble en agua,Conduce electricidad,Reacciona solo con metales,A,general,medium
150,Cuál es el principal ácido graso en el aceite de oliva?,ácido láctico,ácido palmítico,ácido oleico,ácido butírico,C,general,medium
151,Cuál es la principal característica de un líquido supercrítico?,No ejerce presión,No presenta tensión superficial ni fase líquida/gaseosa definida,Es estable solo a baja T,Se solidifica fácilmente,B,general,hard
152,Cuál de estas sustancias es un desecante común?,H₂O,H₂SO₄ conc,CO₂ sólido,NH₃ acuoso,B,general,hard
153,Qué describe la ecuación de Henderson-Hasselbalch?,"Relación pH, pKa y conc de ácido/base",Relación entre P y V,Energía vs temperatura,Velocidad vs concentración,A,general,hard
154,Qué significa ppm?,Partículas por mililitro,Partes por millón,Parámetros por magnitud,Protones por masa,B,general,hard
155,Qué tipo de reacción es la saponificación?,Síntesis de éster,Hidrólisis de éster en base,Deshidratación de alcohol,Reducción de aldehído,B,general,hard
156,Cuál es la principal ventaja de la destilación al vacío?,Permite destilar a T más baja,Aumenta el punto de ebullición,Evita azeótropos,Elimina impurezas iónicas,A,general,hard
157,Qué postula el modelo de enlace de valencia (VB)?,Moléculas son nubes electrónicas,Orbitales atómicos ? orbitales molec.,Enlaces = solapamiento de orbitales atómicos,El n cuántico principal = forma molecular,C,general,hard
158,Cuál de estas unidades mide radiación ionizante?,Newton,Gray,Pascal,Joule,B,general,hard
159,Qué se libera al disociarse el ácido carbónico (H₂CO₃)?,H₂ y CO,2H⁺ y CO₃²⁻,CO₂ y H₂O,H₂ y HCO₃⁻,C,general,hard
160,Qué ley relaciona la conc. de gas disuelto con su presión parcial?,Ley de Henry,Ley de Raoult,Ley de Dalton,Ley de Graham,A,general,hard
161,Qué ocurre en la electrólisis de NaCl fundido?,Na en cátodo y Cl₂ en ánodo,H₂ en cátodo y O₂ en ánodo,No hay reacción,Forman OH⁻ y H⁺,A,general,hard
162,Qué es una celda galvánica?,Consume energía para forzar reacción,Celda de alta presión sin reacción,Produce electricidad con reacción espontánea,Catalizador biológico,C,general,hard
163,Cuál es la función de un agente quelante?,Romper enlaces iónicos,Formar complejos con iones metálicos,Precipitar sales,Oxidar metales,B,general,hard
164,Qué mide la espectroscopia de RMN?,Absorción uV,Cambios de rotación molecular,Absorción nuclear en campo magnético,Energía vibracional,C,general,hard
165,Qué es un homopolímero?,Polímero de más de un monómero,Polímero con enlaces cruzados,Polímero de un solo monómero,Polímero ramificado,C,general,hard
166,Qué sustancias aceleran la polimerización radicalaria?,Antioxidantes,Radicales libres/iniciadores,Bases fuertes,Inhibidores,B,general,hard
167,Cuál es Cᵥ para un gas ideal monoatómico?,(5/2)R,(3/2)R,(7/2)R,(9/2)R,B,general,hard
168,Qué ocurre en el ánodo de una celda electrolítica?,Se reduce,Se oxida,No hay electrones,Se depositan metales,B,general,hard
169,Qué es la catálisis heterogénea?,Catalizador y reactivos misma fase,Catalizador en fase distinta,Catalizador se disuelve en producto,Sin energía requerida,B,general,hard
170,Qué se produce al hidrolizar un triglicérido?,Glicerol y ácidos grasos,Aminoácidos,Monosacáridos,ésteres y fenoles,A,general,hard
171,En qué consiste la fermentación alcohólica?,Oxidación de ácidos grasos,Reducción de etanol,Azúcares? etanol+CO₂ (levaduras),Adición de agua a alqueno,C,general,hard
172,Qué nombre recibe la reacción de un ácido/anhídrido con agua?,Neutralización,Hidrólisis,Condensación,Saponificación,B,general,hard
173,Cuál es la relación aire-combustible ideal para gasolina?,14'7:1,2:01,32:01:00,1:01,A,general,hard
174,Cuál de los siguientes es un explosivo común?,NaClO,NH₄NO₃,CH₃COOH,K₂SO₄,B,general,hard
175,Qué determina la constante dieléctrica de un solvente?,Conducir electricidad,Disolver sustancias polares,Densidad,Punto de ebullición,B,general,hard
176,Qué es una reacción SN2?,Sustitución nucleofílica bimolecular,Sustitución nucleofílica unimolecular,Eliminación unimolecular,Reducción electrolílica,A,general,hard
177,Cuál es el principal componente del ácido estomacal?,H₂SO₄,HCl,HNO₃,H₃PO₄,B,general,hard
178,Cuál es la función del EDTA en química analítica?,ácido fuerte,Estándar primario,Agente quelante,Indicador de pH,C,general,hard
179,Qué técnica separa mezclas de líquidos volátiles?,Cromatografía de gases,Espectroscopía IR,Recristalización,Liofilización,A,general,hard
180,Cuál es la fase móvil en la cromatografía de papel?,El papel,El disolvente,El soluto,El adsorbente,B,general,hard
181,Qué elemento define la química orgánica?,Hidrógeno,Carbono,Oxígeno,Nitrógeno,B,organic,easy
182,Cómo se llaman los compuestos que solo contienen C e H?,Alcoholes,Haluros,Hidrocarburos,Aminas,C,organic,easy
183,Qué grupo funcional caracteriza a los alcoholes?,#NAME?,#NAME?,0,#NAME?,A,organic,easy
184,Cuál es la fórmula del metano?,C₂H₆,CH₄,C₃H₈,CO₂,B,organic,easy
185,Qué tipo de hidrocarburo tiene solo enlaces simples?,Alqueno,Alcano,Alquino,Areno,B,organic,easy
186,Cómo se llama el compuesto CH₃CH₂OH?,Metanol,Etanol,Propanol,Butanol,B,organic,easy
187,Cuál es la principal fuente natural de hidrocarburos?,Carbón,Agua,Petróleo,Arena,C,organic,easy
188,Cómo se denomina el grupo funcional -COOH?,Hidroxilo,Carboxilo,Carbonilo,Amino,B,organic,easy
189,Qué tipo de isomería existe entre cis-but-2-eno y trans-but-2-eno?,Constitucional,Geométrica,óptica,Tautomérica,B,organic,easy
190,Qué átomo (distinto de C) aparece más comúnmente en compuestos orgánicos?,Nitrógeno,Flúor,Oxígeno,Azufre,C,organic,easy
191,Cuál es el nombre común del CH₃OH?,Metano,Metanol,ácido fórmico,Formaldehído,B,organic,easy
192,Qué tipo de reacción es la halogenación de un alcano (en presencia de luz)?,Adición,Sustitución radicalaria,Eliminación,Reordenamiento,B,organic,easy
193,Cuál es el producto principal de la hidratación de un alqueno?,un alcano,un alquino,un alcohol,un ácido carboxílico,C,organic,easy
194,Cómo se llama un anillo de benceno con un grupo OH?,Fenol,Benceno,Benzoato,Tolueno,A,organic,easy
195,Qué compuesto se obtiene al oxidar un alcohol primario?,Aldehído,Cetona,éter,Amina,A,organic,easy
196,Cuál es el nombre del hidrocarburo con 2 carbonos y enlace triple?,Etano,Eteno,Etino (acetileno),Etileno,C,organic,easy
197,Qué describe la fórmula CnH₂n+2?,Alquenos,Alcanos,Alquinos,Aromaticidad,B,organic,easy
198,Cuál es el nombre del grupo funcional -CHO?,Carboxilo,Hidroxilo,Carbonilo (aldehído),Amida,C,organic,easy
199,Cuál es el principal alcohol presente en las bebidas alcohólicas?,Metanol,Etanol,Propanol,Butanol,B,organic,easy
200,Cómo se denomina el grupo -NH₂?,Hidroxilo,Amino,Nitro,Aldehído,B,organic,easy
201,Qué familia de compuestos contiene un anillo bencénico?,Hidrocarburos alifáticos,Arenos,Halocarburos,Aldehídos,B,organic,easy
202,Cuál de estos es un aldehído simple?,Acetona,Formaldehído,Fenol,Butanol,B,organic,easy
203,Cómo se llama la reacción de un alcano con oxígeno para formar CO₂ y H₂O?,Sustitución,Combustión,Adición,Polimerización,B,organic,easy
204,Qué tipo de hibridación tiene el carbono en el metano?,sp,sp²,sp³,sp³d,C,organic,easy
205,Qué tipo de compuesto es el benceno?,Alcano,Aminoácido,Aromático,Cetona,C,organic,easy
206,Cómo se denomina un compuesto con el grupo - O - entre dos cadenas carbonadas?,Aldehído,éter,Cetona,ácido carboxílico,B,organic,easy
207,Qué producto se forma al reducir un aldehído?,Alcohol primario,Alcohol secundario,Cetona,ácido carboxílico,A,organic,easy
208,Cuál es el nombre común del etino?,Acetileno,Etileno,Etanol,Metilacetileno,A,organic,easy
209,Cómo se llama el grupo funcional -NO₂?,Amino,Nitro,Nitrilo,Nitrato,B,organic,easy
210,Cuál es la fórmula general de los alquenos?,CₙH₂ₙ+2,CₙH₂ₙ,CₙH₂ₙ-2,CₙHₙ,B,organic,easy
211,Qué catalizador se usa frecuentemente en la hidrogenación de alquenos?,Fe,Pt/Pd/Ni,Hg,Cu,B,organic,medium
212,Cuál es el reactivo de Tollens?,[Ag(NH₃)₂]⁺,KMnO₄,CrO₃/H₂SO₄,NaBH₄,A,organic,medium
213,Cómo se llama la reacción entre un aldehído y un alcohol para formar un hemiacetal?,Esterificación,Hidrólisis,Adición nucleofílica,Eliminación,C,organic,medium
