id,question,A,B,C,D,solution,category,difficulty
52,What is the expression for the equilibrium constant for the reaction: aA + bB <-> cC + dD?,K = [A]a [B]b / [C]c [D]d,K = ([A]a [B]b) / ([C]c [D]d) x RT,K = [C]c [D]d / [A]a [B]b,K = (a+b)/(c+d),C,university,medium
53,What is the pOH of a solution with pH = 3 at 25°C?,7,14,11,1,C,university,medium
54,What is the electron geometry of a molecule with 3 pairs of electrons on the central atom?,Linear,Tetrahedral,Trigonal planar,Pyramidal,C,university,medium
55,What does the letter 'n' represent in the ideal gas equation?,Number of molecules,Number of moles,Number of atoms,Quantum number,B,university,medium
56,What type of bond is formed in an ionic compound?,Electron sharing,Electron transfer,Proton loss,Dipole-dipole attraction,B,university,medium
57,What is the electron configuration of neon (Z=10)?,1s² 2s² 2p⁶,1s² 2s² 2p⁴,1s² 2s² 2p⁵,1s² 2s² 2p⁶ 3s¹,A,university,medium
58,What does an equilibrium constant K >> 1 indicate?,Reactants predominate,Reaction hardly proceeds,Products predominate,Equilibrium is impossible,C,university,medium
59,What is entropy (S)?,Heat content of a system,Measure of disorder or randomness,Capacity to do work,Change in Gibbs energy,B,university,medium
60,What is the shape of the water molecule?,Linear,Tetrahedral,Angular,Trigonal planar,C,university,medium
61,What does Le Chatelier's principle state?,pH depends only on the base,If a system at equilibrium is disturbed it opposes the change,System enthalpy always increases,Universal entropy decreases,B,university,hard
62,What is the value of the universal gas constant R in L·atm/(mol·K)?,0.08206,8.314,62.36,2.303,A,university,hard
63,What does sp² hybridization consist of?,Mix of one s orbital and two p orbitals,Mix of one s orbital and one p orbital,Mix of one s orbital and three p orbitals,Mix of two s orbitals and one d orbital,A,university,hard
64,What is the Gibbs free energy equation?,ΔG = ΔH + TΔS,ΔG = ΔH - TΔS,ΔG = -RT ln K,ΔG = q - w,B,university,hard
65,What type of isomers differ in spatial arrangement around a double bond?,Structural isomers,Optical isomers,Geometric isomers (cis-trans),Tautomers,C,university,hard
66,What does infrared spectroscopy measure in a molecule?,Electronic transitions,Molecular vibrations,Nuclear changes,Unpaired electron movements,B,university,hard
67,What type of reaction is the nitration of benzene?,Electrophilic aromatic substitution,Nucleophilic aliphatic substitution,Radical oxidation,Catalytic reduction,A,university,hard
68,Which of these molecules has a net dipole moment equal to zero?,HCl,H₂O,CO₂,NH₃,C,university,hard
69,What colligative property raises the boiling point of a solution?,Vapor pressure lowering,Boiling point elevation,Freezing point depression,Color change,A,university,hard
70,What is the reaction rate according to the law: v = k[A]²[B]?,It is first order overall,It is second order overall,It is third order overall,It is mixed order,C,university,hard
71,What is the Arrhenius equation?,k = Ae(Ea/RT),ln(k₂/k₁) = Ea/R (1/T₂ - 1/T₁),k = A e(-Ea/RT),k = e(ΔG/RT),C,university,hard
72,What is the substance formed temporarily during a reaction called that then becomes a product?,Reactant,Intermediate,Catalyst,Secondary product,B,university,hard
73,What does the Pauli exclusion principle describe?,No more than two electrons can occupy the same orbital,d orbital must be empty,Electrons have positive charge,Each sublevel can have only one electron,A,university,hard
74,What is the electron geometry of a central atom with sp³d hybridization?,Tetrahedral,Trigonal planar,Trigonal bipyramidal,Octahedral,C,university,hard
75,What is the energy required to remove an electron from a gaseous atom called?,Electron affinity,Ionization energy,Lattice energy,Reduction potential,B,university,hard
76,What is the overall reaction order if the rate is v = k[A]¹[B]²?,1,2,3,0,C,university,hard
77,What does chemical kinetics study?,Position of equilibrium,Speed of reactions,Nature of ions,Thermodynamics,B,university,hard
78,What does the equilibrium constant Kp define?,Equilibrium for concentrations,Equilibrium in solid phase,Equilibrium in aqueous phase,Equilibrium in partial pressures,D,university,hard
79,What is the conjugate base of sulfuric acid (H₂SO₄)?,HSO₄⁻,SO₄²⁻,SO₃²⁻,H₂SO₃,A,university,hard
80,What method is used to balance redox reactions in acidic medium?,Algebraic method,Direct adjustment method,Half-reaction method,Pauli method,C,university,hard
81,What is the standard hydrogen electrode potential (SHE)?,1.00 V,0.00 V,0.76 V,Depends on pH,B,university,hard
82,What does the Nernst equation describe?,Relationship between emf and ionic concentrations,Relationship between free energy and enthalpy,Reaction rate and temperature,Phase equilibrium,A,university,hard
83,What is the formula for osmotic pressure (π)?,π = MRT,π = k [A]n,π = ΔH - TΔS,π = d · g · h,A,university,hard
84,What is a phase diagram?,Shows activation energy,Represents states of aggregation at different T and P,Indicates molecular geometry,Orbital diagram,B,university,hard
85,What is the main interaction in the dissolution of ions in water?,Ion-ion,Dipole-dipole,Ion-dipole,London dispersion,C,university,hard
86,Which of the following ions is commonly a counterion in coordination complexes?,K⁺,NO₃⁻,Al³⁺,F₂⁻,B,university,hard
87,What is the phenomenon called when a substance loses its hydration water upon exposure to air?,Sublimation,Dissociation,Efflorescence,Decomposition,C,university,hard
88,What does the octet rule state?,Atoms tend to complete eight electrons in their valence shell,Sum of protons and neutrons is 8,d orbitals do not participate in bonding,Only transition metals can form eight bonds,A,university,hard
89,What is the process of converting a liquid to gas at a temperature below its boiling point called?,Sublimation,Evaporation,Fusion,Liquefaction,B,university,hard
90,What is the main interaction that stabilizes the secondary structure of proteins?,Ionic bonds,Hydrogen bonds,Disulfide bridges,Hydrophobic interactions,B,university,hard
91,What gas causes bubbles in carbonated beverages?,Oxygen,Nitrogen,Carbon dioxide,Helium,C,general,easy
92,Which metal is liquid at room temperature?,Sodium,Mercury,Iron,Aluminum,B,general,easy
93,What is the substance called that on contact with skin produces a characteristic tanning color?,Oxygen,Melanin,Hemoglobin,Keratin,B,general,easy
94,Which of these elements is not a metal?,Gold,Sodium,Carbon,Calcium,C,general,easy
95,What is the basis of life on Earth?,Hydrogen,Oxygen,Carbon,Iron,C,general,easy
96,What gas is necessary for combustion in air?,Nitrogen,Argon,Oxygen,Carbon dioxide,C,general,easy
97,What is the formula of acetic acid, the main component of vinegar?,H₂SO₄,HCl,CH₃COOH,C,general,easy
98,What is the main component of glass?,SiO₂,CO₂,NaCl,CaO,A,general,easy
99,Which chemical element has the symbol 'Fe'?,Phosphorus,Iron,Fluorine,Francium,B,general,easy
100,What is the lightest noble gas?,Helium,Neon,Argon,Radon,A,general,easy
101,What is the main component of the air we breathe?,Oxygen,Nitrogen,Carbon dioxide,Water vapor,B,general,easy
102,Which of these is considered a strong acid?,HCl,HF,CH₃COOH,H₂CO₃,A,general,easy
103,Which of the following is a mixture?,Distilled water,Carbon dioxide,Air,Sodium chloride,C,general,easy
104,Which metal is known for its high electrical conductivity?,Lead,Copper,Iron,Gold,B,general,easy
105,What macromolecule do amino acids form?,Proteins,Carbohydrates,Lipids,Nucleic acids,A,general,easy
106,What is oxidation?,Loss of electrons,Gain of electrons,Decrease in oxidation number,Formation of covalent bonds,A,general,easy
107,What defines a supersaturated solution?,Cannot dissolve more solute,Has less solute than it can dissolve,Contains more dissolved solute than it should at that temperature,Is always acidic,C,general,easy
108,What is ammonia in terms of chemical formula?,NH₃,NH₄⁺,NO₃⁻,N₂,A,general,easy
109,What are hydrogen bonds?,Weak forces between hydrogen and a metal,Interactions between hydrogen and an electronegative atom,Strong covalent bonds,Ionic bonds,B,general,easy
110,What does the stoichiometry of a chemical equation indicate?,The reaction rate,The proportions in which the reactants react,The color of the reactants,The required pressure,B,general,easy
111,Which of the following is not a hydrocarbon?,Methane,Ethanol,Propane,Butene,B,general,easy
112,What does 'Pb' stand for on the periodic table?,Polonium,Lead,Palladium,Bromine,B,general,easy
113,What is the common name for sodium chloride?,Sugar,Table salt,Baking soda,Gypsum,B,general,easy
114,What is an aqueous solution?,A mixture of oil in water,A mixture of water with an organic solvent,A mixture in which water is the solvent,A semi-solid colloid,C,general,easy
115,What are ions?,Atoms with a different number of protons and neutrons,Atoms or molecules with an electric charge,Atoms with the same atomic number,Neutral molecules,B,general,easy
116,What is chlorine in its elemental form?,Diatomic gas,Green liquid,Crystalline solid,Noble gas,A,general,easy
117,Which of these compounds is organic?,CO₂,CH₄,NaOH,MgCl₂,B,general,easy
118,What happens if you mix vinegar with baking soda?,Nothing happens,Heat is produced without bubbles,It reacts producing CO₂ and foam,It turns into a solid,C,general,easy
119,Which property measures a metal’s resistance to deformation?,Ductility,Malleability,Conductivity,Hardness,B,general,easy
120,What is the main greenhouse gas produced by human activities?,Methane,Ozone,Carbon dioxide,Carbon monoxide,C,general,easy
121,What happens to the boiling point if external pressure increases?,Decreases,Increases,Does not change,It becomes 0°,B,general,medium
122,Which element is found in all organic compounds?,Hydrogen,Oxygen,Nitrogen,Carbon,D,general,medium
123,What is the main component of natural gas?,Propane,Butane,Methane,Ethane,C,general,medium
124,What type of bond holds the atoms together in salt (NaCl)?,Polar covalent,Ionic,Metallic,Van der Waals,B,general,medium
125,Which acid is commonly found in car batteries?,Hydrochloric acid,Sulfuric acid,Acetic acid,Nitric acid,B,general,medium
126,What is the main reason for electrical conductivity in metals?,Delocalized electrons,Free protons,Absence of electrons,High ionization energies,A,general,medium
127,What defines a functional group in organic chemistry?,Water solubility,Number of carbons,The type of reaction it undergoes,Molecular weight,C,general,medium
128,Which method is used to separate miscible liquids based on their boiling points?,Filtration,Distillation,Crystallization,Decantation,B,general,medium
129,What characterizes a colloid?,Homogeneous mixture of two phases,Very large particles,Heterogeneous mixture with sedimentation,Particles of intermediate size,D,general,medium
130,What is the process called to remove dissolved salts from water to make it potable?,Softening,Desalination,Ozone treatment,Fractional distillation,B,general,medium
131,What is the anion in the formula Na₂SO₄?,Na⁺,S²⁻,SO₄²⁻,SO₃²⁻,C,general,medium
132,What is a polymer?,An atom with a high atomic number,A heterogeneous mixture,A material with long repeated chains,An organic catalyst,C,general,medium
133,What is the main characteristic of an isotope?,Same number of protons, different number of neutrons,Different number of protons, same number of neutrons,A,general,medium
134,What does the Mohs scale measure?,Hardness of minerals,Heat of combustion,Solubility in water,Density of gases,A,general,medium
135,What byproduct is typically produced in the complete combustion of a hydrocarbon?,CO,CO₂,C,H₂,B,general,medium
136,What happens if the pH of a solution is less than 7?,It is basic,It is neutral,It is acidic,It is stable,C,general,medium
137,Which of the following is not a state of matter?,Solid,Plasma,Liquid,Crystalline,D,general,medium
138,What type of bond links amino acids in a protein?,Glycosidic bond,Peptide bond,Phosphodiester bond,Ionic bond,B,general,medium
139,What is the main substance responsible for the stratospheric ozone layer?,O₃,O₂,CFCs,NOx,A,general,medium
140,What does Avogadro's law describe?,At constant temperature and pressure, volume is proportional to number of moles,Relationship between pressure and volume is constant,Internal energy of an ideal gas is constant,A,general,medium
141,Which physical change occurs during sublimation?,Liquid to gas,Gas to solid,Solid to gas,Liquid to solid,C,general,medium
142,What type of compounds are triglycerides?,Proteins,Lipids,Nucleic acids,Carbohydrates,B,general,medium
143,What is a very common pH indicator in laboratories?,Bromothymol blue,Mercury,Ethanol,Silicon,A,general,medium
144,What is galvanization?,Applying a zinc coating,A redox reaction in acid,A type of electrolysis,Oxidation of iron,A,general,medium
145,Which subparticle changes between isotopes of the same element?,Electrons,Neutrons,Protons,Quarks,B,general,medium
146,Which gas is primarily involved in the greenhouse effect?,Argon,CO₂,Helium,Hydrogen,B,general,medium
147,What is meant by standard enthalpy of formation?,Kinetic energy of molecules,Heat released in combustion,Heat absorbed in forming 1 mol from elements,Energy to break bonds,C,general,medium
148,What is the name of the process by which plants convert CO₂ and water into glucose?,Respiration,Evapotranspiration,Photosynthesis,Fermentation,C,general,medium
149,What does the term 'amphoteric' indicate?,Functions as an acid or base,Is insoluble in water,Conducts electricity,Reacts only with metals,A,general,medium
150,What is the primary fatty acid in olive oil?,Lactic acid,Palmitic acid,Oleic acid,Butyric acid,C,general,medium
151,What is the main characteristic of a supercritical fluid?,It exerts no pressure,It has no surface tension and no distinct liquid/gas phase,It is stable only at low temperature,It solidifies easily,B,general,hard
152,Which of these substances is a common desiccant?,H₂O,Concentrated H₂SO₄,Solid CO₂,Aqueous NH₃,B,general,hard
153,What does the Henderson-Hasselbalch equation describe?,Relationship between pH, pKa and acid/base concentration,Relationship between pressure and volume,Energy vs temperature,A,general,hard
154,What does ppm mean?,Parts per milliliter,Parts per million,Parameters per magnitude,Protons per mass,B,general,hard
155,What type of reaction is saponification?,Ester synthesis,Base-catalyzed ester hydrolysis,Alcohol dehydration,Aldehyde reduction,B,general,hard
156,What is the main advantage of vacuum distillation?,Allows distillation at lower temperature,Raises the boiling point,Avoids azeotropes,Removes ionic impurities,A,general,hard
157,What does the valence bond model postulate?,Molecules are electron clouds,Atomic orbitals → molecular orbitals,Bonds = overlap of atomic orbitals,Principal quantum number = molecular geometry,C,general,hard
158,Which of these units measures ionizing radiation?,Newton,Gray,Pascal,Joule,B,general,hard
159,What is released when carbonic acid (H₂CO₃) dissociates?,H₂ and CO,2H⁺ and CO₃²⁻,CO₂ and H₂O,H₂ and HCO₃⁻,C,general,hard
160,Which law relates the concentration of a dissolved gas with its partial pressure?,Henry's law,Raoult's law,Dalton's law,Graham's law,A,general,hard
161,What happens in the electrolysis of molten NaCl?,Na at the cathode and Cl₂ at the anode,H₂ at the cathode and O₂ at the anode,No reaction,OH⁻ and H⁺ form,A,general,hard
162,What is a galvanic cell?,Consumes energy to drive a reaction,High-pressure cell without reaction,Produces electricity from a spontaneous reaction,Biological catalyst,C,general,hard
163,What is the function of a chelating agent?,Break ionic bonds,Form complexes with metal ions,Precipitate salts,Oxidize metals,B,general,hard
164,What does NMR spectroscopy measure?,UV absorption,Molecular rotational changes,Nuclear absorption in a magnetic field,Vibrational energy,C,general,hard
165,What is a homopolymer?,Polymer of more than one monomer,Polymer with cross-links,Polymer of a single monomer,Branched polymer,C,general,hard
166,Which substances accelerate radical polymerization?,Antioxidants,Free radicals/initiators,Strong bases,Inhibitors,B,general,hard
167,What is Cᵥ for a monatomic ideal gas?,(5/2)R,(3/2)R,(7/2)R,(9/2)R,B,general,hard
168,What happens at the anode of an electrolytic cell?,Reduction occurs,Oxidation occurs,There are no electrons,Metals are deposited,B,general,hard
169,What is heterogeneous catalysis?,Catalyst and reactants in the same phase,Catalyst in a different phase,Catalyst dissolves in product,No energy required,B,general,hard
170,What is produced when a triglyceride is hydrolyzed?,Glycerol and fatty acids,Amino acids,Monosaccharides,Esters and phenols,A,general,hard
171,What does alcoholic fermentation consist of?,Oxidation of fatty acids,Reduction of ethanol,Sugars → ethanol + CO₂ (yeast),Addition of water to an alkene,C,general,hard
172,What is the reaction of an acid/anhydride with water called?,Neutralization,Hydrolysis,Condensation,Saponification,B,general,hard
173,What is the ideal air-fuel ratio for gasoline?,14.7:1,2:01,32:01:00,1:01,A,general,hard
174,Which of the following is a common explosive?,NaClO,NH₄NO₃,CH₃COOH,K₂SO₄,B,general,hard
175,What determines the dielectric constant of a solvent?,Conducts electricity,Dissolves polar substances,Density,Boiling point,B,general,hard
176,What is an SN₂ reaction?,Bimolecular nucleophilic substitution,Unimolecular nucleophilic substitution,Unimolecular elimination,Electrolytic reduction,A,general,hard
177,What is the main component of stomach acid?,H₂SO₄,HCl,HNO₃,H₃PO₄,B,general,hard
178,What is the function of EDTA in analytical chemistry?,Strong acid,Primary standard,Chelating agent,pH indicator,C,general,hard
179,What technique separates mixtures of volatile liquids?,Gas chromatography,IR spectroscopy,Recrystallization,Lyophilization,A,general,hard
180,What is the mobile phase in paper chromatography?,The paper,The solvent,The solute,The adsorbent,B,general,hard
181,Which element defines organic chemistry?,Hydrogen,Carbon,Oxygen,Nitrogen,B,organic,easy
182,What are compounds that contain only C and H called?,Alcohols,Halides,Hydrocarbons,Amines,C,organic,easy
183,What is the formula of methane?,C₂H₆,CH₄,C₃H₈,CO₂,B,organic,easy
184,Which type of hydrocarbon has only single bonds?,Alkene,Alkane,Alkyne,Arene,B,organic,easy
185,What is the compound CH₃CH₂OH called?,Methanol,Ethanol,Propanol,Butanol,B,organic,easy
186,What is the main natural source of hydrocarbons?,Coal,Water,Petroleum,Sand,C,organic,easy
187,What is the functional group⁻COOH called?,Hydroxyl,Carboxyl,Carbonyl,Amino,B,organic,easy
188,What type of isomerism exists between cis-but-2-ene and trans-but-2-ene?,Structural,Geometric,Optical,Tautomeric,B,organic,easy
189,Which atom (other than C) most commonly appears in organic compounds?,Nitrogen,Fluorine,Oxygen,Sulfur,C,organic,easy
190,What is the common name for CH₃OH?,Methane,Methanol,Formic acid,Formaldehyde,B,organic,easy
191,What type of reaction is the halogenation of an alkane (in presence of light)?,Addition,Radical substitution,Elimination,Rearrangement,B,organic,easy
192,What is the main product of the hydration of an alkene?,An alkane,An alkyne,An alcohol,A carboxylic acid,C,organic,easy
193,What is a benzene ring with an OH group called?,Phenol,Benzene,Benzoate,Toluene,A,organic,easy
194,What compound is obtained by oxidizing a primary alcohol?,Aldehyde,Ketone,Ether,Amine,A,organic,easy
195,What is the name of the hydrocarbon with 2 carbons and a triple bond?,Ethane,Ethene,Ethyne (acetylene),Ethylene,C,organic,easy
196,What does the formula CnH₂n+2 describe?,Alkenes,Alkanes,Alkynes,Aromatic compounds,B,organic,easy
197,What is the functional group⁻CHO called?,Carboxyl,Hydroxyl,Carbonyl (aldehyde),Amide,C,organic,easy
198,What is the main alcohol present in alcoholic beverages?,Methanol,Ethanol,Propanol,Butanol,B,organic,easy
199,What is the group⁻NH₂ called?,Hydroxyl,Amino,Nitro,Aldehyde,B,organic,easy
200,Which family of compounds contains a benzene ring?,Aliphatic hydrocarbons,Arenes,Halocarbons,Aldehydes,B,organic,easy
201,Which of these is a simple aldehyde?,Acetone,Formaldehyde,Phenol,Butanol,B,organic,easy
202,What is the reaction of an alkane with oxygen to form CO₂ and H₂O called?,Substitution,Combustion,Addition,Polymerization,B,organic,easy
203,What type of hybridization does carbon have in methane?,sp,sp²,sp³,sp³d,C,organic,easy
204,What type of compound is benzene?,Alkane,Amino acid,Aromatic,Ketone,C,organic,easy
205,What is a compound with the⁻O- group between two carbon chains called?,Aldehyde,Ether,Ketone,Carboxylic acid,B,organic,easy
206,What product is formed by reducing an aldehyde?,Primary alcohol,Secondary alcohol,Ketone,Carboxylic acid,A,organic,easy
207,What is the common name for ethyne?,Acetylene,Ethylene,Ethanol,Methylacetylene,A,organic,easy
208,What is the functional group⁻NO₂ called?,Amino,Nitro,Nitrile,Nitrate,B,organic,easy
209,What is the general formula for alkenes?,CₙH₂ₙ+2,CₙH₂ₙ,CₙH₂ₙ-2,CₙHₙ,B,organic,easy
210,Which catalyst is frequently used in the hydrogenation of alkenes?,Fe,Pt/Pd/Ni,Hg,Cu,B,organic,medium
211,What is Tollens' reagent?,[Ag(NH₃)₂]⁺,KMnO₄,CrO₃/H₂SO₄,NaBH₄,A,organic,medium
212,What is the reaction between an aldehyde and an alcohol to form a hemiacetal called?,Esterification,Hydrolysis,Nucleophilic addition,Elimination,C,organic,medium
213,What is the hybridization of carbon in a linear alkyne?,sp³,sp²,sp,sp³d,C,organic,medium
214,What product is obtained from the saponification of a fatty ester?,An aldehyde,A soap (fatty acid salt),An anhydride,A phenol,B,organic,medium
215,What is the main function of a free radical in organic reactions?,Stabilize intermediates,Initiate substitution chains,Inhibit the reaction,Form hydrogen bonds,B,organic,medium
216,What is the reaction of adding H₂O to an alkene in an acidic medium called?,Hydrogenation,Hydration,Halogenation,Oxidation,B,organic,medium
217,What happens when a secondary alcohol is oxidized?,An aldehyde is formed,A carboxylic acid is formed,A ketone is formed,It does not react,C,organic,medium
218,Which is the electrophilic center in a carbonyl group C=O?,Carbon,Oxygen,Both,None,A,organic,medium
219,What characterizes an SN₁ reaction?,Single step,Carbocation intermediate,Requires free radicals,Occurs in alkanes,B,organic,medium
220,What is addition polymerization?,A monomer condenses with loss of H₂O,Monomers with double bonds join without loss of atoms,An acid-base reaction,None of the above,B,organic,medium
221,What is the family name for compounds with a carbon-nitrogen double bond (C=N)?,Amides,Imines,Esters,Nitriles,B,organic,medium
222,What defines an aromatic compound according to Huckel's rule?,4n electrons,(4n+2) electrons,A⁵⁻atom ring,Only single bonds,B,organic,medium
223,What kind of reactivity do alkyl halides exhibit in nucleophilic reactions?,They are very stable and unreactive,They act as electrophilic substrates,They are strong acids,They release free halogens,B,organic,medium
224,What is the main product of the oxidation of an aldehyde?,Alcohol,Different aldehyde,Ketone,Carboxylic acid,D,organic,medium
225,Which reagent is used to oxidize primary alcohols to carboxylic acids in acidic medium?,NaBH₄,KMnO₄,H₂/Pd,LiAlH₄,B,organic,medium
226,What happens when benzene reacts with HNO₃ in presence of H₂SO₄?,The ring is sulfonated,The ring is nitrated,The ring is reduced,The ring polymerizes,B,organic,medium
227,What is the process of separating organic compounds based on their solubility in different phases called?,Liquid chromatography,Vacuum filtration,Liquid-liquid extraction,Fractional distillation,C,organic,medium
228,What is an enol?,An aldehyde,A tautomer of a carbonyl with OH on a C=C,A cyclic ester,An organic salt,B,organic,medium
229,What characterizes diamines?,They have two⁻OH groups,They have two⁻NH₂ groups,They have two double bonds,They have two aromatic rings,B,organic,medium
230,What is the condensation reaction between two amino acid molecules called?,Esterification,Diels-Alder reaction,Cannizzaro reaction,Peptide bond formation,D,organic,medium
231,What is optical isomerism?,Existence of isomers that differ in a double bond,Isomers that rotate polarized light,Isomers that differ in substituent positions on a ring,None of the above,B,organic,medium
232,Which of these is an aromatic amine?,Aniline,Methylamine,Dimethylamine,Ammonia,A,organic,medium
233,What defines condensation polymerization?,Monomers join with release of small molecules (e.g., H₂O),It is a radical chain reaction,Does not require a catalyst,A,organic,medium
234,What is an alpha-hydroxy acid (AHA)?,A carboxylic acid with a hydroxyl on the adjacent carbon,An alcohol with a double bond,A cyclic ketone,An essential amino acid,A,organic,medium
235,Which is a common method to convert an alcohol to an alkyl halide?,Strong oxidation,Substitution with HX,Catalytic reduction,None,B,organic,medium
236,What characterizes benzoic acid?,OH group on the ring,CHO group on the ring,COOH group attached to the benzene ring,NH₂ group on the ring,C,organic,medium
237,What is the name of the compound CH₃-CH₂-CH₂-NH₂?,Ethanolamine,Propylamine,Methylamine,Butylamine,B,organic,medium
238,What does the reduction of a nitrile (R-C≡N) produce?,An amide,A primary amine,An aldehyde,A carboxylic acid,B,organic,medium
239,What is the dimerization reaction of two free radicals called?,Radical coupling,Radical reduction,Rearrangement,Elimination,A,organic,medium
240,What does the Diels-Alder reaction describe?,Cycloaddition between a conjugated diene and a dienophile,Elimination of H₂O in alcohols,Reduction of a ketone,Electrophilic substitution in benzene,A,organic,hard
241,What is an unsaturated carboxylic acid?,An acid with a double or triple bond in the chain,An acid with more⁻COOH groups,An aromatic acid,An acid with halogens,A,organic,hard
242,What is the most stable conformation of cyclohexane?,Chair,Boat,Twist-boat,Half-boat,A,organic,hard
